Organization,Count
"Indian Institute Of Information Technology (Iiit), Surat",26
Indian Institute Of Information Technology Surat,6
Indian Institute Of Information Technology Surat (Iiit Surat),4
"Rv University, Bangalore",3
"Government Engineering College (Gec), Bharuch, Gujarat",2
"Vignan'S Institute Of Information Technology, Andhra Pradesh",2
"Indian Institute Of Information Technology, Surat",2
"Sharda University (Su), Greater Noida",1
Cmr College Of Engineering & Technology (Cmrcet),1
G.D. Goenka Public School Kashipur,1
"Dr. Hari Singh Gour University (Dhsgu), Sagar",1
"Narsee Monjee Institute Of Management Studies (Nmims), Hyderabad",1
Iiit Surat,1
Iiit-Vadodara - International Campus Diu (Iiitv-Icd),1
Jhulelal Institute Of Technology,1
Jai Hind College,1
"Poornima College Of Engineering ,Jaipur",1
"Gayatri Vidya Parishad College Of Engineering (Gvpce), Visakhapatnam",1
Uka Trasadia University,1
"St. Joseph'S College Of Engineering And Technology (Sjcet), Palai",1
"Indira Gandhi Delhi Technical University For Women (Igdtuw), Delhi",1
"Banasthali Public School, Vikaspuri G Block Delhi",1
"Gls University (Glsu), Ahmedabad, Gujrat",1
Gla Uniersity,1
R V University,1
Sanskriti University,1
"Chhatrapati Shahu Ji Maharaj University (Csjmu), Kanpur",1
Indian Institute Of Information Technology Vadodara - International Campus Diu,1
"Kendriya Vidyalaya, Ballygunge",1
"Symbiosis Institute Of Technology (Sit), Pune",1
"Institute Of Technical Education And Research (Iter), Bhubaneswar",1
National Institute Of Engineering,1
Vignan'S Institute Of Information Technology,1
Vignan'S Instutute Of Information Technology,1
"Xavier Institute Of Social Service (Xiss), Ranchi",1
Vaagdevi Engineering College,1
Delhi Public School,1
Sarvajanic College Of Eng & Tech,1
"Indian Institute Of Technology (Iit), Patna",1
"Pravara Rural Engineering College, Loni.",1
Rvu India,1
"Maharaja Agrasen Institute Of Technology (Mait), Delhi",1
"Indian Institute Of Information Technology(Iiit), Nagpur",1
Srm Insitute Of Science And Technology,1
"Great Lakes Institute Of Management (Glim), Gurgaon",1
"Sal Engineering And Technical Institute(Seti) , Ahmedabad,Gujarat",1
Vignans Institute Of Information & Technology,1
Indian Academy Degree College,1
"Women Institute Of Technology (Wit), Dehradun",1
"Netaji Subhas University, Jamshedpur",1
Methodist College Of Engineering & Technology.,1
Dr. Dy Patil Institute Of Technology,1
Srm Ap,1
Motilal Nehru National Institute Of Technology,1
"A. D. Patel Institute Of Technology (Adit), New Vallabh Vidhyanagar",1
"Institute Of Management Studies (Ims), Ghaziabad",1
"Srm Institute Of Science And Technology (Srmist), Kattankulathur, Chennai",1
"Heritage Institute Of Technology, Kolkata",1
Bharathidasan University,1
"Shri Govindram Seksaria Institute Of Technology And Science (Sgsits), Indore",1
Government Engineering College Bharuch,1
"Dumka Engineering College, Dumka",1
Xyz School,1
"Delhi Public School, Chandigarh",1
"R.V. College Of Engineering (Rvce), Bangalore",1
"Srm University (Srmap), Andhra Pradesh",1
"Shri Ram Murti Smarak College Of Engineering And Technology (Srmscet), Bareilly",1
"Guru Gobind Singh Indraprastha University (Ggsipu), Delhi",1
"Sctr'S Pune Institute Of Computer Technology, Pune",1
"Birla Institute Of Management Technology (Bimtech), Greater Noida",1
Sri Sankara Vidyalaya Bhilai,1
"Misrimal Navajee Munoth Jain Engineering College (Mnmjec), Chennai",1
"Chouksey Engineering College (Cec), Chattisgarh",1
"St. Xavier'S College (Sxc), Ranchi",1
"College Of Computing Sciences And Information Technology, Moradabad",1
Vidyalankar Institute Of Technology,1
Symbiosis Centre For Management And Human Resource Development (Scmhrd),1
Cauvery Group Of Institutions,1
